,LATITUDE,LONGITUDE
1924,33.407,-85.0387
1830,30.2292,-91.065
709,33.0142,-89.6758
1182,30.3206,-81.9486
3369,30.262255,-91.185837
2454,41.45906,-90.695252
2222,30.8442,-92.2606
8154,32.6514,-86.7386
1187,29.4731,-95.6244
6311,39.3648,-122.268
7247,41.5018,-109.758
5898,31.9858,-106.4322
7713,47.2872,-101.3314
3523,29.7568,-95.36891
7579,36.4078,-114.9603
4756,39.6111,-86.8791
1004,30.1458,-97.55
1459,38.347278,-97.673846
1811,39.6928,-75.4867
6640,40.7881,-73.9056
4074,34.2963,-92.8683
376,37.698902,-95.458814
132,39.5944,-78.7456
3678,46.9688,-123.48
2781,29.717471,-95.068008
2595,40.6169,-73.6486
8090,30.08367,-90.91325
1747,26.3389,-98.1708
1210,40.6994,-73.9758
5385,37.2169,-121.7439
8922,33.4082,-85.0399
728,41.5042,-82.05
6681,29.89028,-93.9368
3996,29.75421,-95.36021
2466,34.6292,-87.0214
2166,29.78754,-95.61767
3030,42.6919,-84.6572
8373,33.78178,-118.23241
4604,42.174,-121.8112
5546,36.8042,-121.7775
6192,32.5733,-116.9153
7952,46.4393,-87.6515
4532,38.034696,-85.90601
2103,29.2878,-96.0683
8061,29.79992,-98.03647
7183,41.77899,-107.104
9110,33.0583,-97.9103
4822,43.3359,-91.1672
256,41.3771,-83.1615
3304,26.208,-98.3992
8628,40.0195,-105.202
4989,32.2983,-107.78
7051,39.274673,-84.597814
3375,35.739778,-95.286917
3783,37.320078,-122.091012
5954,40.8831,-117.1542
6653,46.1792,-123.1717
7854,25.873889,-80.372222
7885,30.0536,-97.8572
7700,45.316951,-85.299349
3302,38.6281,-104.7069
4037,30.5349,-88.1121
3239,29.892778,-93.973333
4965,30.1478,-97.27
9061,39.744228,-104.9867131
1810,41.64083,-87.40821
7454,35.4698,-97.51477
4412,40.79,-76.1984
3569,43.5592,-91.2333
6313,38.0167,-121.7592
3713,32.6017,-87.7811
8631,27.5242,-81.9236
121,37.3016,-77.2719
3940,32.3958,-94.4361
2875,42.7183,-84.5586
9178,32.28248,-95.27886
6490,26.7717,-80.1416
1335,38.832222,-84.243611
8540,33.435,-81.9111
56,29.78037,-95.6295
1718,40.8142,-72.9403
8899,34.63001,-97.16942
1754,40.4748,-78.7021
167,30.075832,-90.624885
4326,28.04932,-81.05266
4382,42.2488,-84.3767
4710,38.009472,-90.079941
2126,40.55,-78.8
3658,39.5611,-80.1642
354,39.443237,-77.968677
1725,35.029298,-118.316236
6672,41.9439,-91.6386
7717,37.0659,-94.614
1332,38.622778,-83.666111
6975,45.0203,-93.2753
1430,39.26944,-81.67
8903,39.53,-87.4247
8052,40.7458,-116.5297
4038,38.386936,-105.039244
9185,39.55068,-104.86584
4433,33.5239,-101.7392
3389,30.650644,-91.281167
7151,30.184161,-90.992889
382,33.6953,-94.423
5111,42.282182,-83.158756
6495,41.1889715,-76.8951551
7484,33.9175,-118.4258
464,30.493536,-91.187226
7361,39.805556,-104.944444
6492,33.1192,-117.118
6575,33.8048,-118.2431
5860,37.82967,-88.63985
6977,42.5835,-89.0351
2096,34.7439,-87.8486
9134,44.2892,-105.3795
7390,35.42686,-118.99222
5581,32.9728,-102.7417
1426,30.380556,-89.307778
1609,39.67913,-91.31424
5263,41.8167,-71.4042
7440,35.3515611,-119.0576298
4611,42.499406,-94.017177
6125,31.99267,-102.16366
4877,33.09238,-86.809434
6945,41.8017,-71.5186
1726,34.6045,-117.3382
2428,30.054796,-93.753863
7698,37.4556,-77.4308
3878,33.2003,-87.607
160,30.237363,-93.285908
7016,40.0911,-104.5947
1440,29.850396,-93.977222
6828,37.4604,-79.9948
4446,21.301643,-158.096275
4005,44.9331,-93.1075
1951,35.53376,-97.52976
7707,44.850583,-93.002139
6327,45.77962,-108.49424
6265,29.723889,-95.208888
9132,44.2862,-105.3843
2723,29.75894,-95.37096
3791,38.60056,-82.825
9213,45.811201,-108.428833
9016,43.6576,-70.3772
3728,35.0517,-114.1334
820,32.269104,-101.417673
285,42.1113,-71.4529
476,29.610148,-98.367792
2523,39.2086,-77.4644
1965,30.34,-88.492
9133,44.2911,-105.3815
3385,32.297817,-81.190961
6356,37.54722,-81.49917
641,29.690671,-82.582134
9117,38.8639,-90.1325
6684,30.00055,-90.39502
7340,41.370152,-84.921695
2162,70.399057,-149.728958
8551,34.20569,-97.10417
7445,36.797837,-108.440704
6,35.46735,-97.5145
3821,45.8042,-119.37
1886,39.144325,-94.416723
758,30.209725,-91.012892
5386,30.205949,-91.0207
5237,34.4304,-92.8333
6494,41.7693656,-76.4794435
3797,21.388997,-157.961171
2940,29.7574,-95.36843
4851,39.327019,-80.031136
673,30.4522,-84.4
2934,32.79866,-96.80541
1178,41.2044,-73.9689
6148,39.9717,-80.5492
5859,37.824299,-88.583702
1457,45.65922,-108.76778
2287,32.7131,-103.3533
5517,38.3108,-93.9331
8800,30.179916,-93.359229
7881,29.376111,-94.908055
1852,29.7483,-94.9272
8849,30.233183,-91.051
5705,30.0615,-90.6659
7480,30.241902,-93.274446
159,38.047952,-122.256895
5840,44.2853,-105.3841
2008,41.717246,-109.691763
6330,48.830142,-122.692114
3475,38.938951,-112.816647
2642,35.46901,-97.51645
954,43.273,-107.6
8546,36.731389,-107.955277
1331,33.2186,-86.7859
8127,29.75815,-95.36783
4239,27.0393,-80.5144
4711,35.517286,-113.314018
2480,29.7586,-82.3883
707,32.92548,-96.81613
657,33.3417,-112.8897
7450,30.2091,-97.6139
8139,39.8466,-88.9261
5448,36.7367,-107.9417
6009,33.45075,-87.03723
148,35.6417,-101.4228
642,33.226205,-80.452832
5779,33.006008,-79.882331
170,33.812778,-118.231389
8504,40.381209,-110.162285
883,70.275827,-148.664928
4550,32.8994,-79.9694
2473,36.970042,-82.604399
3818,40.75037,-75.27114
4045,41.128381,-104.787925
460,29.92444,-90.352217
6785,43.1969,-77.6289
3600,38.354475,-87.559361
7258,44.915,-84.5406
4701,40.472471,-75.895245
5833,39.1714,-94.6958
4567,40.54717,-112.00316
7013,36.3297,-79.8297
2800,40.72966,-75.30078
8462,40.3097,-79.8819
5545,31.5289,-89.2992
164,38.026667,-122.067222
2926,43.094,-93.2922
4249,41.7775,-87.8233
3471,40.924063,-77.722316
729,39.7475,-80.8547
768,29.002075,-95.399777
4131,41.329483,-89.081612
8368,28.510636,-96.771527
5347,32.67607,-96.73436
7438,29.6967,-95.0411
161,30.10817,-90.88404
7502,41.2678,-79.8114
2921,41.4388,-88.1236
3014,29.7574,-95.36843
2372,28.456667,-98.190277
1205,35.0786,-81.575
541,35.0847,-98.23
3341,38.1507,-104.62595
9177,32.2556612,-95.3207069
2892,32.2792,-81.2842
379,41.005565,-96.154917
7884,32.93311,-96.7537
3859,36.13914,-96.02544
8163,46.85055,-100.88083
4940,39.7914,-75.4081
6280,39.7312095,-104.9826965
6467,40.73811,-74.16993
8023,27.3839,-80.3775
4879,36.204003,-115.129625
6696,41.573,-76.0426
5172,37.797162,-95.431386
1958,35.53376,-97.52976
2851,42.44311,-90.55686
37,41.755,-90.284167
2165,29.78754,-95.61767
8153,34.6831,-95.9349
1212,28.582265,-82.430829
6682,29.868856,-93.933794
3056,45.813904,-108.433295
252,30.08013,-90.916
